player_nationality,games_position,team_founded,venue_surface,league_id,team_id,venue_id,player_weight
Cameroon,Attacker,1906.0,grass,61,116,654,73
Congo DR,Midfielder,1906.0,grass,61,116,654,72
France,Attacker,1906.0,grass,61,116,654,67
Cameroon,Defender,1906.0,grass,61,116,654,85
France,Attacker,1906.0,grass,61,116,654,63
France,Defender,1906.0,grass,61,116,654,78
Colombia,Defender,1906.0,grass,61,116,654,70
France,Attacker,1906.0,grass,61,116,654,65
Poland,Midfielder,1906.0,grass,61,116,654,70
Norway,Midfielder,1906.0,grass,61,116,654,86
Korea Republic,Attacker,1986.0,grass,61,110,684,82
France,Goalkeeper,1986.0,grass,61,110,684,75
France,Defender,1986.0,grass,61,110,684,74
France,Defender,1986.0,grass,61,110,684,75
France,Defender,1986.0,grass,61,110,684,83
Morocco,Defender,1986.0,grass,61,110,684,72
France,Goalkeeper,1986.0,grass,61,110,684,80
Ukraine,Attacker,1986.0,grass,61,110,684,81
Serbia,Midfielder,1986.0,grass,61,110,684,73
France,Midfielder,1986.0,grass,61,110,684,63
Brazil,Midfielder,1986.0,grass,61,110,684,69
England,Midfielder,1986.0,grass,61,110,684,58
France,Defender,1986.0,grass,61,110,684,77
Netherlands,Defender,1986.0,grass,61,110,684,76
France,Midfielder,1986.0,grass,61,110,684,71
France,Attacker,1986.0,grass,61,110,684,70
France,Midfielder,1986.0,grass,61,110,684,70
Mali,Midfielder,1986.0,grass,61,110,684,70
France,Midfielder,1986.0,grass,61,110,684,67
South Africa,Attacker,1986.0,grass,61,110,684,78
Burkina Faso,Defender,1986.0,grass,61,110,684,75
Mali,Defender,1986.0,grass,61,110,684,71
Tunisia,Attacker,1986.0,grass,61,110,684,75
Portugal,Defender,1986.0,grass,61,110,684,77
France,Defender,1986.0,grass,61,110,684,90
French Guiana,Defender,1986.0,grass,61,110,684,85
France,Goalkeeper,1986.0,grass,61,110,684,79
France,Goalkeeper,1986.0,grass,61,110,684,88
USA,Defender,1986.0,grass,61,110,684,88
France,Defender,1986.0,grass,61,110,684,78
France,Defender,1986.0,grass,61,110,684,76
France,Defender,1986.0,grass,61,110,684,80
France,Midfielder,1986.0,grass,61,110,684,70
England,Attacker,1986.0,grass,61,110,684,66
Mali,Midfielder,1986.0,grass,61,110,684,68
France,Midfielder,1986.0,grass,61,110,684,73
France,Midfielder,1986.0,grass,61,110,684,69
Guinea-Bissau,Attacker,1986.0,grass,61,110,684,69
France,Midfielder,1986.0,grass,61,110,684,74
Canada,Attacker,1986.0,grass,61,110,684,79
France,Defender,1986.0,grass,61,110,684,68
France,Defender,1986.0,grass,61,110,684,74
France,Midfielder,1986.0,grass,61,110,684,72
France,Defender,1986.0,grass,61,110,684,66
France,Midfielder,1986.0,grass,61,110,684,70
France,Defender,1986.0,grass,61,110,684,59
France,Attacker,1986.0,grass,61,110,684,71
France,Attacker,1986.0,grass,61,110,684,67
Bulgaria,Midfielder,1986.0,grass,61,110,684,75
Luxembourg,Attacker,1986.0,grass,61,110,684,82
USA,Attacker,1899.0,grass,61,81,12678,63
