team_id,team_name,team_code,team_country,team_founded,team_national,team_logo,venue_id,venue_name,venue_address,venue_city,venue_capacity,venue_surface,venue_image,league_id,season_id
75,Stoke City,STO,England,1868.0,False,https://media-2.api-sports.io/football/teams/75.png,588,bet365 Stadium,Stanley Matthews Way,"Stoke-on-Trent, Staffordshire",30089,grass,https://media-2.api-sports.io/football/venues/588.png,39,2012
76,Swansea,SWA,Wales,1912.0,False,https://media-1.api-sports.io/football/teams/76.png,12273,Swansea.com Stadium,Normandy Road,Swansea,21028,grass,https://media-1.api-sports.io/football/venues/12273.png,39,2012
746,Sunderland,SUN,England,1879.0,False,https://media-1.api-sports.io/football/teams/746.png,589,Stadium of Light,Millenium Way,Sunderland,49000,grass,https://media-3.api-sports.io/football/venues/589.png,39,2012
157,Bayern Munich,BAY,Germany,1900.0,False,https://media-3.api-sports.io/football/teams/157.png,700,Allianz Arena,Werner-Heisenberg-Allee 25,München,75000,grass,https://media-2.api-sports.io/football/venues/700.png,78,2012
158,Fortuna Dusseldorf,DUS,Germany,1895.0,False,https://media-1.api-sports.io/football/teams/158.png,714,Merkur Spiel-Arena,Arena-Str. 1,Düsseldorf,54600,grass,https://media-3.api-sports.io/football/venues/714.png,78,2012
160,SC Freiburg,FRE,Germany,1904.0,False,https://media-2.api-sports.io/football/teams/160.png,12717,Europa-Park Stadion,Achim-Stocker-Straße 1,Freiburg im Breisgau,34700,grass,https://media-1.api-sports.io/football/venues/12717.png,78,2012
161,VfL Wolfsburg,WOL,Germany,1945.0,False,https://media-2.api-sports.io/football/teams/161.png,752,VOLKSWAGEN ARENA,In den Allerwiesen 1,Wolfsburg,30000,grass,https://media-3.api-sports.io/football/venues/752.png,78,2012
162,Werder Bremen,WER,Germany,1899.0,False,https://media-3.api-sports.io/football/teams/162.png,755,wohninvest WESERSTADION,Franz-Böhmert-Straße 1c,Bremen,42358,grass,https://media-2.api-sports.io/football/venues/755.png,78,2012
163,Borussia Monchengladbach,MOE,Germany,1900.0,False,https://media-3.api-sports.io/football/teams/163.png,703,Stadion im BORUSSIA-PARK,Hennes-Weisweiler-Allee 1,Mönchengladbach,54057,grass,https://media-3.api-sports.io/football/venues/703.png,78,2012
164,FSV Mainz 05,MAI,Germany,1905.0,False,https://media-1.api-sports.io/football/teams/164.png,11899,MEWA ARENA,Eugen-Salomon-Straße 1,Mainz,34034,grass,https://media-1.api-sports.io/football/venues/11899.png,78,2012
165,Borussia Dortmund,DOR,Germany,1909.0,False,https://media-2.api-sports.io/football/teams/165.png,19381,SIGNAL IDUNA PARK,Strobelalle 50,Dortmund,81365,grass,https://media-3.api-sports.io/football/venues/19381.png,78,2012
166,Hannover 96,HAN,Germany,1896.0,False,https://media-3.api-sports.io/football/teams/166.png,18858,Heinz von Heiden-Arena,Robert-Enke-Str. 3,Hannover,49000,grass,https://media-2.api-sports.io/football/venues/18858.png,78,2012
167,1899 Hoffenheim,HOF,Germany,1899.0,False,https://media-3.api-sports.io/football/teams/167.png,724,PreZero Arena,Dietmar-Hopp-Straße 1,Sinsheim,30164,grass,https://media-3.api-sports.io/football/venues/724.png,78,2012
168,Bayer Leverkusen,BAY,Germany,1904.0,False,https://media-2.api-sports.io/football/teams/168.png,699,BayArena,Bismarckstr. 122-124,Leverkusen,30210,grass,https://media-1.api-sports.io/football/venues/699.png,78,2012
169,Eintracht Frankfurt,EIN,Germany,1899.0,False,https://media-3.api-sports.io/football/teams/169.png,10491,Deutsche Bank Park,Mörfelder Landstr. 362,Frankfurt am Main,52300,grass,https://media-2.api-sports.io/football/venues/10491.png,78,2012
170,FC Augsburg,AUG,Germany,1907.0,False,https://media-2.api-sports.io/football/teams/170.png,698,WWK Arena,Bürgermeister Ulrich-Straße 90,Augsburg,30662,grass,https://media-1.api-sports.io/football/venues/698.png,78,2012
171,FC Nurnberg,NUR,Germany,1900.0,False,https://media-1.api-sports.io/football/teams/171.png,713,Max-Morlock-Stadion,Max-Morlock-Platz 1,Nürnberg,50000,grass,https://media-3.api-sports.io/football/venues/713.png,78,2012
172,VfB Stuttgart,STU,Germany,1893.0,False,https://media-2.api-sports.io/football/teams/172.png,750,Mercedes-Benz-Arena,Mercedesstrasse 87,Stuttgart,60469,grass,https://media-1.api-sports.io/football/venues/750.png,78,2012
174,FC Schalke 04,SCH,Germany,1904.0,False,https://media-2.api-sports.io/football/teams/174.png,741,VELTINS-Arena,Arenaring 1,Gelsenkirchen,62271,grass,https://media-1.api-sports.io/football/venues/741.png,78,2012
175,Hamburger SV,HAM,Germany,1887.0,False,https://media-2.api-sports.io/football/teams/175.png,720,Volksparkstadion,Sylvester Allee 7,Hamburg,57030,grass,https://media-3.api-sports.io/football/venues/720.png,78,2012
178,SpVgg Greuther Furth,GRE,Germany,1903.0,False,https://media-2.api-sports.io/football/teams/178.png,718,Sportpark Ronhof Thomas Sommer,Laubenweg 60,Fürth,18000,grass,https://media-1.api-sports.io/football/venues/718.png,78,2012
487,Lazio,LAZ,Italy,1900.0,False,https://media-1.api-sports.io/football/teams/487.png,910,Stadio Olimpico,"Viale dei Gladiatori, 2 / Via del Foro Italico",Roma,68530,grass,https://media-2.api-sports.io/football/venues/910.png,135,2012
489,AC Milan,MIL,Italy,1899.0,False,https://media-3.api-sports.io/football/teams/489.png,907,Stadio Giuseppe Meazza,Via Piccolomini 5,Milano,80018,grass,https://media-3.api-sports.io/football/venues/907.png,135,2012
490,Cagliari,CAG,Italy,1920.0,False,https://media-1.api-sports.io/football/teams/490.png,12275,Unipol Domus,Via Raimondo Carta Raspi,Cagliari,16416,grass,https://media-1.api-sports.io/football/venues/12275.png,135,2012
491,Chievo,CHI,Italy,1929.0,False,https://media-2.api-sports.io/football/teams/491.png,890,Stadio Marc'Antonio Bentegodi,Piazzale Olimpia,Verona,39211,grass,https://media-3.api-sports.io/football/venues/890.png,135,2012
492,Napoli,NAP,Italy,1904.0,False,https://media-1.api-sports.io/football/teams/492.png,11904,Stadio Diego Armando Maradona,Pizzale Vincenzo Tecchio,Napoli,60240,grass,https://media-2.api-sports.io/football/venues/11904.png,135,2012
494,Udinese,UDI,Italy,1896.0,False,https://media-3.api-sports.io/football/teams/494.png,928,Dacia Arena,"Piazza le Repubblica Argentina, 3",Udine,25952,grass,https://media-2.api-sports.io/football/venues/928.png,135,2012
495,Genoa,GEN,Italy,1893.0,False,https://media-1.api-sports.io/football/teams/495.png,905,Stadio Comunale Luigi Ferraris,"Via Giovanni De Prà, 1",Genova,36703,grass,https://media-1.api-sports.io/football/venues/905.png,135,2012
496,Juventus,JUV,Italy,1897.0,False,https://media-3.api-sports.io/football/teams/496.png,909,Allianz Stadium,Strada Comunale di Altessano 131,Torino,45666,grass,https://media-1.api-sports.io/football/venues/909.png,135,2012
497,AS Roma,ROM,Italy,1927.0,False,https://media-3.api-sports.io/football/teams/497.png,910,Stadio Olimpico,"Viale dei Gladiatori, 2 / Via del Foro Italico",Roma,68530,grass,https://media-2.api-sports.io/football/venues/910.png,135,2012
498,Sampdoria,SAM,Italy,1946.0,False,https://media-1.api-sports.io/football/teams/498.png,905,Stadio Comunale Luigi Ferraris,"Via Giovanni De Prà, 1",Genova,36703,grass,https://media-2.api-sports.io/football/venues/905.png,135,2012
499,Atalanta,ATA,Italy,1907.0,False,https://media-2.api-sports.io/football/teams/499.png,879,Gewiss Stadium,Viale Giulio Cesare 18,Bergamo,21300,grass,https://media-2.api-sports.io/football/venues/879.png,135,2012
500,Bologna,BOL,Italy,1909.0,False,https://media-1.api-sports.io/football/teams/500.png,881,Stadio Renato Dall'Ara,"Via Andrea Costa, 174",Bologna,39279,grass,https://media-3.api-sports.io/football/venues/881.png,135,2012
502,Fiorentina,FIO,Italy,1926.0,False,https://media-3.api-sports.io/football/teams/502.png,902,Stadio Artemio Franchi,Viale Manfredo Fanti 14,Firenze,43147,grass,https://media-2.api-sports.io/football/venues/902.png,135,2012
503,Torino,TOR,Italy,1906.0,False,https://media-3.api-sports.io/football/teams/503.png,943,Stadio Olimpico Grande Torino,"Corso Sebastopoli 123, Santa Rita",Torino,27958,grass,https://media-2.api-sports.io/football/venues/943.png,135,2012
505,Inter,INT,Italy,1908.0,False,https://media-3.api-sports.io/football/teams/505.png,907,Stadio Giuseppe Meazza,Via Piccolomini 5,Milano,80018,grass,https://media-1.api-sports.io/football/venues/907.png,135,2012
522,Palermo,PAL,Italy,1900.0,False,https://media-3.api-sports.io/football/teams/522.png,920,Stadio Renzo Barbera,"Viale del Fante, 11",Palermo,36349,grass,https://media-3.api-sports.io/football/venues/920.png,135,2012
523,Parma,PAR,Italy,1913.0,False,https://media-3.api-sports.io/football/teams/523.png,921,Stadio Ennio Tardini,"Via Partigiani d&apos;Italia, 1",Parma,21473,grass,https://media-1.api-sports.io/football/venues/921.png,135,2012
525,Pescara,PES,Italy,1936.0,False,https://media-1.api-sports.io/football/teams/525.png,923,Stadio Adriatico-Giovanni Cornacchia,Via Pepe,Pescara,20476,grass,https://media-3.api-sports.io/football/venues/923.png,135,2012
1580,Catania,CAT,Italy,1908.0,False,https://media-1.api-sports.io/football/teams/1580.png,887,Stadio Angelo Massimino,Piazza Vincenzo Spedini,Catania,20104,grass,https://media-2.api-sports.io/football/venues/887.png,135,2012
1583,Robur Siena,SIE,Italy,1904.0,False,https://media-1.api-sports.io/football/teams/1583.png,936,Stadio Comunale Artemio Franchi - Montepaschi Arena,"Via Mille, 3",Siena,15373,grass,https://media-1.api-sports.io/football/venues/936.png,135,2012
