,player_age,correct
39632,33.0,1
27820,35.0,0
55348,27.0,0
45719,33.0,1
4026,33.0,1
12383,36.0,1
62581,31.0,0
36758,24.0,1
19297,33.0,1
26738,21.0,1
15623,40.0,1
32424,25.0,1
57315,26.0,1
16323,35.0,0
55692,27.0,1
27456,27.0,1
22624,25.0,0
64680,29.0,1
6819,23.0,0
38500,34.0,1
11201,26.0,1
39733,33.0,0
50194,37.0,0
165,28.0,1
44838,26.0,0
50838,31.0,0
48158,24.0,1
25020,37.0,1
57310,33.0,1
28100,35.0,1
42685,26.0,1
5328,31.0,0
45663,35.0,1
12030,43.0,0
5753,36.0,1
61205,34.0,0
14552,32.0,0
938,29.0,0
6073,31.0,1
15779,32.0,0
13498,30.0,0
46280,35.0,0
11299,30.0,0
467,21.0,0
41171,30.0,1
20290,35.0,1
19929,32.0,0
26241,31.0,1
60909,38.0,0
59062,20.0,1
28458,25.0,0
62838,29.0,1
1919,29.0,0
51198,31.0,1
49208,24.0,1
3547,26.0,0
52363,32.0,0
835,21.0,1
40459,21.0,1
5667,36.0,0
42706,28.0,0
27520,22.0,1
40508,24.0,0
58298,38.0,1
14336,26.0,0
27136,33.0,0
57795,29.0,1
63914,36.0,0
3838,27.0,1
36164,33.0,0
4990,37.0,0
65116,34.0,0
3042,30.0,0
57875,32.0,0
30083,27.0,1
12563,30.0,1
45291,35.0,1
24730,33.0,0
38849,34.0,0
57757,29.0,1
45747,41.0,1
44143,37.0,1
31475,40.0,0
65320,34.0,0
23696,32.0,1
33810,30.0,0
60195,23.0,1
32446,26.0,1
35723,26.0,1
1042,32.0,0
41377,28.0,1
13650,38.0,1
8772,37.0,1
17019,35.0,1
46386,33.0,1
35201,21.0,1
61847,30.0,1
64802,36.0,1
46822,26.0,0
39474,31.0,0
2940,25.0,1
8498,30.0,0
34601,29.0,1
23077,26.0,1
54037,19.0,1
34803,24.0,1
9724,30.0,1
43658,29.0,1
7888,29.0,0
29308,29.0,1
59621,32.0,1
51225,30.0,1
40898,27.0,1
28338,31.0,1
11349,28.0,1
52525,35.0,0
28928,24.0,1
21600,32.0,1
56186,25.0,0
40362,32.0,0
12829,20.0,1
18998,34.0,1
57886,32.0,1
24326,35.0,0
52126,34.0,1
54047,21.0,1
816,21.0,1
10405,27.0,1
29442,35.0,1
18660,34.0,0
15913,32.0,1
34311,22.0,0
44999,35.0,0
58261,35.0,0
325,25.0,0
31881,32.0,1
60879,32.0,1
51904,23.0,1
11973,37.0,1
33850,30.0,0
63682,32.0,1
58286,21.0,1
5547,29.0,1
61557,33.0,1
38854,37.0,0
31072,33.0,1
29671,26.0,1
38265,30.0,1
11939,42.0,1
17874,34.0,1
1263,20.0,1
40351,30.0,1
13832,25.0,1
27484,21.0,1
62652,32.0,0
11601,35.0,0
59544,20.0,1
62106,33.0,1
3577,30.0,1
20165,28.0,1
52842,39.0,1
58651,30.0,1
30620,30.0,0
43761,34.0,1
35511,30.0,0
36885,33.0,1
28426,23.0,1
13712,25.0,1
52949,32.0,1
36470,21.0,1
4875,32.0,0
19453,33.0,1
64957,35.0,0
52566,40.0,1
39509,35.0,1
15399,25.0,1
9152,28.0,1
25289,29.0,1
4711,30.0,0
36577,28.0,1
46825,27.0,1
42382,25.0,0
18629,29.0,1
34354,21.0,0
44020,29.0,1
22955,27.0,1
44438,29.0,1
60874,34.0,0
17116,36.0,0
50162,34.0,1
26010,28.0,1
63918,32.0,1
41090,26.0,0
24339,27.0,1
46369,29.0,1
11643,28.0,1
3186,28.0,1
7519,31.0,1
33855,35.0,0
62669,28.0,1
55258,25.0,1
49062,30.0,0
51612,29.0,1
51965,30.0,1
36493,24.0,1
65370,31.0,1
5770,34.0,1
53457,31.0,0
33744,35.0,0
1434,25.0,1
53840,20.0,1
23061,31.0,1
64524,28.0,1
29422,26.0,1
39746,40.0,1
62814,34.0,0
16214,27.0,1
40332,37.0,0
25106,29.0,1
55499,23.0,0
22804,27.0,1
14008,29.0,1
39876,28.0,1
52529,38.0,0
8676,28.0,0
27974,24.0,1
11692,30.0,1
13451,22.0,1
55760,33.0,0
9333,22.0,1
34438,24.0,0
10822,30.0,0
36005,26.0,0
27093,21.0,1
8916,31.0,1
47423,29.0,0
9438,32.0,0
37133,29.0,1
8707,29.0,0
51493,39.0,0
47343,28.0,1
34487,23.0,1
5744,40.0,0
64871,36.0,1
26515,32.0,0
48723,27.0,1
31251,27.0,1
15769,41.0,1
42574,27.0,1
50804,28.0,1
29928,32.0,1
21418,33.0,0
35812,23.0,1
22417,41.0,1
27910,22.0,1
17804,34.0,1
58380,34.0,0
38735,34.0,1
5836,35.0,1
2159,24.0,0
38282,28.0,0
61006,30.0,1
42849,26.0,0
43422,28.0,1
14729,27.0,1
3655,33.0,0
31223,29.0,0
7463,33.0,0
63802,38.0,0
25069,38.0,0
61334,28.0,1
59790,21.0,1
4935,32.0,1
41869,28.0,1
44957,35.0,0
48628,24.0,1
9606,31.0,1
62438,38.0,0
42678,38.0,0
