league_id,league_name,league_type,league_logo,country_name,country_code,country_flag
614,Paranaense - 2,League,https://media-3.api-sports.io/football/leagues/614.png,Brazil,BR,https://media-1.api-sports.io/flags/br.svg
615,Rondoniense,League,https://media-3.api-sports.io/football/leagues/615.png,Brazil,BR,https://media-2.api-sports.io/flags/br.svg
616,Potiguar,League,https://media-3.api-sports.io/football/leagues/616.png,Brazil,BR,https://media-1.api-sports.io/flags/br.svg
617,Copa do Brasil U20,Cup,https://media-1.api-sports.io/football/leagues/617.png,Brazil,BR,https://media-1.api-sports.io/flags/br.svg
618,São Paulo Youth Cup,Cup,https://media-2.api-sports.io/football/leagues/618.png,Brazil,BR,https://media-2.api-sports.io/flags/br.svg
619,Mineiro - 2,League,https://media-1.api-sports.io/football/leagues/619.png,Brazil,BR,https://media-1.api-sports.io/flags/br.svg
621,Piauiense,League,https://media-3.api-sports.io/football/leagues/621.png,Brazil,BR,https://media-2.api-sports.io/flags/br.svg
622,Pernambucano - 1,League,https://media-1.api-sports.io/football/leagues/622.png,Brazil,BR,https://media-3.api-sports.io/flags/br.svg
623,Sul-Matogrossense,League,https://media-3.api-sports.io/football/leagues/623.png,Brazil,BR,https://media-2.api-sports.io/flags/br.svg
624,Carioca - 1,League,https://media-3.api-sports.io/football/leagues/624.png,Brazil,BR,https://media-1.api-sports.io/flags/br.svg
626,Sergipano,League,https://media-1.api-sports.io/football/leagues/626.png,Brazil,BR,https://media-3.api-sports.io/flags/br.svg
627,Paraense,League,https://media-3.api-sports.io/football/leagues/627.png,Brazil,BR,https://media-2.api-sports.io/flags/br.svg
628,Goiano - 1,League,https://media-3.api-sports.io/football/leagues/628.png,Brazil,BR,https://media-2.api-sports.io/flags/br.svg
629,Mineiro - 1,League,https://media-3.api-sports.io/football/leagues/629.png,Brazil,BR,https://media-2.api-sports.io/flags/br.svg
630,Matogrossense,League,https://media-2.api-sports.io/football/leagues/630.png,Brazil,BR,https://media-3.api-sports.io/flags/br.svg
631,Tocantinense,League,https://media-1.api-sports.io/football/leagues/631.png,Brazil,BR,https://media-3.api-sports.io/flags/br.svg
632,Supercopa do Brasil,Cup,https://media-2.api-sports.io/football/leagues/632.png,Brazil,BR,https://media-2.api-sports.io/flags/br.svg
636,Ýokary Liga,League,https://media-1.api-sports.io/football/leagues/636.png,Turkmenistan,TM,https://media-1.api-sports.io/flags/tm.svg
637,V.League 2,League,https://media-2.api-sports.io/football/leagues/637.png,Vietnam,VN,https://media-3.api-sports.io/flags/vn.svg
639,Super Cup,Cup,https://media-2.api-sports.io/football/leagues/639.png,Iceland,IS,https://media-3.api-sports.io/flags/is.svg
640,Kansallinen Liiga,League,https://media-2.api-sports.io/football/leagues/640.png,Finland,FI,https://media-2.api-sports.io/flags/fi.svg
641,NWSL Women - Challenge Cup,Cup,https://media-3.api-sports.io/football/leagues/641.png,USA,US,https://media-2.api-sports.io/flags/us.svg
558,Supercopa,Cup,https://media-2.api-sports.io/football/leagues/558.png,Peru,PE,https://media-2.api-sports.io/flags/pe.svg
562,Reserve League,League,https://media-2.api-sports.io/football/leagues/562.png,Belarus,BY,https://media-3.api-sports.io/flags/by.svg
565,Liga Primera U20,League,https://media-2.api-sports.io/football/leagues/565.png,Nicaragua,NI,https://media-3.api-sports.io/flags/ni.svg
475,Paulista - A1,League,https://media-2.api-sports.io/football/leagues/475.png,Brazil,BR,https://media-1.api-sports.io/flags/br.svg
476,Paulista - A2,League,https://media-2.api-sports.io/football/leagues/476.png,Brazil,BR,https://media-1.api-sports.io/flags/br.svg
477,Gaúcho - 1,League,https://media-2.api-sports.io/football/leagues/477.png,Brazil,BR,https://media-2.api-sports.io/flags/br.svg
478,Gaúcho - 2,League,https://media-3.api-sports.io/football/leagues/478.png,Brazil,BR,https://media-2.api-sports.io/flags/br.svg
479,Canadian Premier League,League,https://media-2.api-sports.io/football/leagues/479.png,Canada,CA,https://media-1.api-sports.io/flags/ca.svg
483,Copa de la Superliga,Cup,https://media-2.api-sports.io/football/leagues/483.png,Argentina,AR,https://media-3.api-sports.io/flags/ar.svg
500,FA Cup,Cup,https://media-2.api-sports.io/football/leagues/500.png,Malaysia,MY,https://media-3.api-sports.io/flags/my.svg
532,AFC U23 Championship,Cup,https://media-1.api-sports.io/football/leagues/532.png,World,,
536,CONCACAF Nations League,Cup,https://media-2.api-sports.io/football/leagues/536.png,World,,
538,Africa Cup of Nations U20,Cup,https://media-3.api-sports.io/football/leagues/538.png,World,,
540,CONMEBOL Libertadores U20,Cup,https://media-1.api-sports.io/football/leagues/540.png,World,,
541,CONMEBOL Recopa,Cup,https://media-2.api-sports.io/football/leagues/541.png,World,,
542,Iraqi League,League,https://media-3.api-sports.io/football/leagues/542.png,Iraq,IQ,https://media-1.api-sports.io/flags/iq.svg
548,Super Cup,Cup,https://media-1.api-sports.io/football/leagues/548.png,Japan,JP,https://media-2.api-sports.io/flags/jp.svg
549,Damallsvenskan,League,https://media-2.api-sports.io/football/leagues/549.png,Sweden,SE,https://media-3.api-sports.io/flags/se.svg
863,Cup,Cup,https://media-1.api-sports.io/football/leagues/863.png,Jordan,JO,https://media-3.api-sports.io/flags/jo.svg
881,Olympics Men - Qualification Concacaf,Cup,https://media-3.api-sports.io/football/leagues/881.png,World,,
882,Olympics Women - Qualification Asia,Cup,https://media-3.api-sports.io/football/leagues/882.png,World,,
885,Campeones Cup,Cup,https://media-1.api-sports.io/football/leagues/885.png,World,,
