id,name,age,number,position,photo,team_id
169295,K. Hein,21,31.0,Goalkeeper,https://media-1.api-sports.io/football/players/169295.png,42
138843,J. Hillson,22,,Goalkeeper,https://media-1.api-sports.io/football/players/138843.png,42
1117,K. Tierney,26,3.0,Defender,https://media-2.api-sports.io/football/players/1117.png,42
19959,B. White,26,4.0,Defender,https://media-1.api-sports.io/football/players/19959.png,42
22224,Gabriel Magalhães,26,6.0,Defender,https://media-2.api-sports.io/football/players/22224.png,42
22090,W. Saliba,22,12.0,Defender,https://media-2.api-sports.io/football/players/22090.png,42
61431,J. Kiwior,23,15.0,Defender,https://media-2.api-sports.io/football/players/61431.png,42
1440,R. Holding,28,16.0,Defender,https://media-1.api-sports.io/football/players/1440.png,42
2597,T. Tomiyasu,25,18.0,Defender,https://media-2.api-sports.io/football/players/2597.png,42
284439,L. Sousa,18,96.0,Defender,https://media-2.api-sports.io/football/players/284439.png,42
309505,R. Walters,19,97.0,Defender,https://media-2.api-sports.io/football/players/309505.png,42
49,T. Partey,30,5.0,Midfielder,https://media-2.api-sports.io/football/players/49.png,42
1460,B. Saka,22,7.0,Midfielder,https://media-2.api-sports.io/football/players/1460.png,42
37127,M. Ødegaard,25,8.0,Midfielder,https://media-2.api-sports.io/football/players/37127.png,42
1161,E. Smith Rowe,23,10.0,Midfielder,https://media-1.api-sports.io/football/players/1161.png,42
2289,Jorginho,32,20.0,Midfielder,https://media-2.api-sports.io/football/players/2289.png,42
41725,Fábio Vieira,23,21.0,Midfielder,https://media-2.api-sports.io/football/players/41725.png,42
1452,Mohamed Elneny,31,25.0,Midfielder,https://media-2.api-sports.io/football/players/1452.png,42
1464,G. Xhaka,31,34.0,Midfielder,https://media-3.api-sports.io/football/players/1464.png,42
641,O. Zinchenko,27,35.0,Midfielder,https://media-3.api-sports.io/football/players/641.png,42
167658,M. Smith,23,72.0,Midfielder,https://media-3.api-sports.io/football/players/167658.png,42
313236,E. Nwaneri,16,83.0,Midfielder,https://media-1.api-sports.io/football/players/313236.png,42
309501,A. Cozier-Duberry,18,85.0,Midfielder,https://media-2.api-sports.io/football/players/309501.png,42
278075,C. Cîrjan,21,,Midfielder,https://media-2.api-sports.io/football/players/278075.png,42
284540,Mauro Bandeira,19,,Midfielder,https://media-2.api-sports.io/football/players/284540.png,42
309507,B. Ibrahim,19,,Midfielder,https://media-1.api-sports.io/football/players/309507.png,42
643,Gabriel Jesus,26,9.0,Attacker,https://media-3.api-sports.io/football/players/643.png,42
127769,Gabriel Martinelli,22,11.0,Attacker,https://media-1.api-sports.io/football/players/127769.png,42
1468,E. Nketiah,24,14.0,Attacker,https://media-2.api-sports.io/football/players/1468.png,42
1946,L. Trossard,29,19.0,Attacker,https://media-3.api-sports.io/football/players/1946.png,42
727,R. Nelson,24,24.0,Attacker,https://media-1.api-sports.io/football/players/727.png,42
284062,K. Edwards,20,,Attacker,https://media-3.api-sports.io/football/players/284062.png,42
284571,C. Sagoe,19,,Attacker,https://media-1.api-sports.io/football/players/284571.png,42
